7d	reserved for non-commercial use	non-commercial
00 01 74	Fractal Audio	Fractal Audio
00 01 75	NetLogic Microsystems	NetLogic Microsystems
00 01 76	Music Computing	Music Computing
00 01 77	Nektar Technology Inc	Nektar Technology Inc
00 01 78	Zenph Sound Innovations	Zenph Sound Innovations
01	Sequential	Sequential
02	IDP	IDP
03	Voyetra Technologies	Voyetra Technologies
04	Moog Music	Moog Music
05	Passport Designs	Passport Designs
06	Lexicon Inc.	Lexicon Inc.
07	Kutzweil / Young Chang	Kutzweil / Young Chang
08	Fender	Fender
09	Gulbransen	Gulbransen
0a	AKG Acoustics	AKG Acoustics
0b	Voyce Music	Voyce Music
0c	Waveframe Corp	Waveframe Corp
0d	ADA Signal Processors	ADA Signal Processors
0e	Garfield Electronics	Garfield Electronics
0f	Ensoniq Corp.	Ensoniq Corp.
10	Oberheim / Gibson Labs	Oberheim / Gibson Labs
11	Apple Computer	Apple Computer
12	Grey Matter Response	Grey Matter Response
13	Digidesign Inc.	Digidesign Inc.
14	Palmtree Instruments	Palmtree Instruments
15	JLCooper Electronics	JLCooper Electronics
16	Lowrey Organ Company	Lowrey Organ Company
17	Adams-Smith	Adams-Smith
18	Emu Systems Inc.	Emu Systems Inc.
19	Harmony Systems	Harmony Systems
1a	ART	ART
1b	Baldwin	Baldwin
1c	Eventide	Eventide
1d	Inventronics	Inventronics
1f	Clarity	Clarity
00 20 29	Novation Digital Music System	Novation Digital Music System
00 20 00	Dream	Dream
00 20 01	Strand Lighting	Strand Lighting
00 20 02	Amek Systems	Amek Systems
00 20 03	Casa Di Risparmio Di Loreto	Casa Di Risparmio Di Loreto
00 20 04	Bohm electronic GmbH	Bohm electronic GmbH
00 20 05	Syntec Digital Audio	Syntec Digital Audio
00 20 06	Trident Audio Developments	Trident Audio Developments
00 20 07	Real World Studio	Real World Studio
00 20 08	Evolution Synthesis	Evolution Synthesis
00 20 09	Yes Technology	Yes Technology
00 20 0a	Audiomatica	Audiomatica
00 20 0b	Bontempi / Farfisa (COMUS)	Bontempi / Farfisa (COMUS)
00 20 0c	F.B.T. Elettronica SpA	F.B.T. Elettronica SpA
00 20 0d	MidiTemp GmbH	MidiTemp GmbH
00 20 0e	LA Audio (Larking Audio)	LA Audio (Larking Audio)
00 20 0f	Zero 88 Lighting Limited	Zero 88 Lighting Limited
00 20 10	Micon Audio Electronics GmbH	Micon Audio Electronics GmbH
00 20 11	Forefront Technology	Forefront Technology
00 20 12	Studio Audio and Video Ltd.	Studio Audio and Video Ltd.
00 20 13	Kenton Electronics	Kenton Electronics
00 20 14	Celco Division of Electrosonic	Celco Division of Electrosonic
00 20 15	ADB	ADB
00 20 16	Marshall Products Limited	Marshall Products Limited
00 20 17	DDA	DDA
00 20 18	BSS Audio Ltd.	BSS Audio Ltd.
00 20 19	MA Lighting Technology	MA Lighting Technology
00 20 1a	Fatar SRL c/o Music Industries	Fatar SRL c/o Music Industries
00 20 1c	Artisan Clasic Organ Inc.	Artisan Clasic Organ Inc.
00 20 1d	Orla Spa	Orla Spa
00 20 1e	Pinnacle Audio (Klark Teknik)	Pinnacle Audio (Klark Teknik)
00 20 1f	TC Electronics	TC Electronics
00 20 20	Doepfer Musikelektronik GmbH	Doepfer Musikelektronik GmbH
